# wavelength[A]	flux[erg/s/cm2/A]	obs_em_lines[A]
1.002891e+04	1.343282e-19	1.065636e+04
1.007508e+04	1.389241e-19	1.390266e+04
1.012125e+04	1.343660e-19	1.418274e+04
1.016742e+04	1.296390e-19	1.432002e+04
1.021359e+04	1.285708e-19	1.877018e+04
1.025976e+04	1.321447e-19	nan
1.030593e+04	1.396391e-19	nan
1.035210e+04	1.419617e-19	nan
1.039827e+04	1.341569e-19	nan
1.044444e+04	1.268108e-19	nan
1.049061e+04	1.234553e-19	nan
1.053678e+04	1.190354e-19	nan
1.058295e+04	1.332340e-19	nan
1.062912e+04	2.209737e-19	nan
1.067529e+04	3.078747e-19	nan
1.072146e+04	2.267495e-19	nan
1.076763e+04	1.564593e-19	nan
1.081380e+04	1.528572e-19	nan
1.085997e+04	1.570401e-19	nan
1.090614e+04	1.651141e-19	nan
1.095231e+04	1.629011e-19	nan
1.099848e+04	1.582952e-19	nan
1.104465e+04	1.781855e-19	nan
1.109082e+04	1.863202e-19	nan
1.113699e+04	1.740790e-19	nan
1.118316e+04	1.772047e-19	nan
1.122933e+04	1.803728e-19	nan
1.127550e+04	1.769850e-19	nan
1.132167e+04	1.727844e-19	nan
1.136784e+04	1.680467e-19	nan
1.141401e+04	1.748602e-19	nan
1.146018e+04	1.848823e-19	nan
1.150635e+04	1.883166e-19	nan
1.155252e+04	1.863413e-19	nan
1.159869e+04	1.869761e-19	nan
1.164486e+04	1.848607e-19	nan
1.169103e+04	1.742520e-19	nan
1.173720e+04	1.636952e-19	nan
1.178337e+04	1.626357e-19	nan
1.182954e+04	1.694935e-19	nan
1.187571e+04	1.753882e-19	nan
1.192188e+04	1.790152e-19	nan
1.196805e+04	1.800873e-19	nan
1.201422e+04	1.754787e-19	nan
1.206039e+04	1.720683e-19	nan
1.210656e+04	1.692889e-19	nan
1.215273e+04	1.636343e-19	nan
1.219890e+04	1.563919e-19	nan
1.224507e+04	1.518536e-19	nan
1.229124e+04	1.461086e-19	nan
1.233741e+04	1.435030e-19	nan
1.238358e+04	1.509882e-19	nan
1.242975e+04	1.616776e-19	nan
1.247592e+04	1.577767e-19	nan
1.252209e+04	1.515994e-19	nan
1.256826e+04	1.518996e-19	nan
1.261443e+04	1.515277e-19	nan
1.266060e+04	1.493578e-19	nan
1.270677e+04	1.450227e-19	nan
1.275294e+04	1.434708e-19	nan
1.279911e+04	1.473964e-19	nan
1.284529e+04	1.462998e-19	nan
1.289146e+04	1.413925e-19	nan
1.293763e+04	1.341864e-19	nan
1.298380e+04	1.313599e-19	nan
1.302997e+04	1.332390e-19	nan
1.307614e+04	1.328154e-19	nan
1.312231e+04	1.333495e-19	nan
1.316848e+04	1.330196e-19	nan
1.321465e+04	1.293832e-19	nan
1.326082e+04	1.252344e-19	nan
1.330699e+04	1.251955e-19	nan
1.335316e+04	1.265546e-19	nan
1.339933e+04	1.219525e-19	nan
1.344550e+04	1.168631e-19	nan
1.349167e+04	1.168265e-19	nan
1.353784e+04	1.167899e-19	nan
1.358401e+04	1.167534e-19	nan
1.363018e+04	1.167168e-19	nan
1.367635e+04	1.166802e-19	nan
1.372252e+04	1.166436e-19	nan
1.376869e+04	1.166070e-19	nan
1.381486e+04	1.160196e-19	nan
1.386103e+04	1.288288e-19	nan
1.390720e+04	1.680710e-19	nan
1.395337e+04	1.508164e-19	nan
1.399954e+04	1.086779e-19	nan
1.404571e+04	1.007338e-19	nan
1.409188e+04	1.040530e-19	nan
1.413805e+04	1.276398e-19	nan
1.418422e+04	1.844224e-19	nan
1.423039e+04	1.795417e-19	nan
1.427656e+04	1.992855e-19	nan
1.432273e+04	3.367582e-19	nan
1.436890e+04	2.899916e-19	nan
1.441507e+04	1.451270e-19	nan
1.446124e+04	1.133311e-19	nan
1.450741e+04	1.118965e-19	nan
1.455358e+04	1.072055e-19	nan
1.459975e+04	1.065314e-19	nan
1.464592e+04	1.021273e-19	nan
1.469209e+04	9.587738e-20	nan
1.473826e+04	9.798076e-20	nan
1.478443e+04	9.688499e-20	nan
1.483060e+04	9.411080e-20	nan
1.487677e+04	9.811585e-20	nan
1.492294e+04	9.886931e-20	nan
1.496911e+04	9.351593e-20	nan
1.501528e+04	8.924812e-20	nan
1.506145e+04	9.102411e-20	nan
1.510762e+04	9.318918e-20	nan
1.515379e+04	9.097247e-20	nan
1.519996e+04	8.818183e-20	nan
1.524613e+04	8.477946e-20	nan
1.529230e+04	8.564410e-20	nan
1.533847e+04	8.956550e-20	nan
1.538464e+04	8.988243e-20	nan
1.543081e+04	9.064197e-20	nan
1.547698e+04	9.147302e-20	nan
1.552315e+04	8.822613e-20	nan
1.556932e+04	8.404686e-20	nan
1.561549e+04	8.498393e-20	nan
1.566166e+04	8.675015e-20	nan
1.570783e+04	8.541510e-20	nan
1.575400e+04	8.364478e-20	nan
1.580017e+04	8.467389e-20	nan
1.584634e+04	8.794897e-20	nan
1.589251e+04	8.704822e-20	nan
1.593868e+04	8.181970e-20	nan
1.598485e+04	6.973336e-20	nan
1.603102e+04	6.797739e-20	nan
1.607719e+04	7.563073e-20	nan
1.612336e+04	7.955307e-20	nan
1.616953e+04	8.000839e-20	nan
1.621570e+04	7.946132e-20	nan
1.626187e+04	7.922329e-20	nan
1.630804e+04	7.583895e-20	nan
1.635421e+04	7.556203e-20	nan
1.640038e+04	8.023496e-20	nan
1.644655e+04	8.220742e-20	nan
1.649272e+04	8.086885e-20	nan
1.653889e+04	7.638852e-20	nan
1.658506e+04	7.374778e-20	nan
1.663123e+04	7.556473e-20	nan
1.667740e+04	8.063085e-20	nan
1.672357e+04	7.835138e-20	nan
1.676974e+04	7.700954e-20	nan
1.681591e+04	8.043498e-20	nan
1.686208e+04	7.154898e-20	nan
1.690825e+04	7.141147e-20	nan
1.695442e+04	8.321232e-20	nan
1.700059e+04	8.763724e-20	nan
1.704676e+04	8.859885e-20	nan
1.709293e+04	8.621019e-20	nan
1.713910e+04	8.833638e-20	nan
1.718527e+04	8.846515e-20	nan
1.723145e+04	8.436537e-20	nan
1.727762e+04	8.027281e-20	nan
1.732379e+04	7.802989e-20	nan
1.736996e+04	8.195287e-20	nan
1.741613e+04	8.722660e-20	nan
1.746230e+04	8.746969e-20	nan
1.750847e+04	8.116411e-20	nan
1.755464e+04	7.949774e-20	nan
