# wavelength[A]	flux[erg/s/cm2/A]	obs_em_lines[A]
1.002891e+04	3.302526e-20	2.046481e+04
1.008885e+04	4.052491e-21	2.087739e+04
1.014878e+04	2.651116e-20	2.107947e+04
1.020872e+04	3.647595e-20	nan
1.026866e+04	3.081226e-20	nan
1.032859e+04	2.458892e-20	nan
1.038853e+04	4.431914e-20	nan
1.044847e+04	3.977651e-20	nan
1.050840e+04	-8.879514e-22	nan
1.056834e+04	2.756148e-20	nan
1.062828e+04	1.327044e-20	nan
1.068821e+04	1.296104e-20	nan
1.074815e+04	1.265163e-20	nan
1.080809e+04	1.234222e-20	nan
1.086802e+04	1.203282e-20	nan
1.092796e+04	1.172341e-20	nan
1.098790e+04	-1.984524e-21	nan
1.104783e+04	8.221465e-21	nan
1.110777e+04	3.932405e-20	nan
1.116771e+04	4.032461e-20	nan
1.122764e+04	4.171833e-20	nan
1.128758e+04	4.172863e-20	nan
1.134752e+04	5.798634e-20	nan
1.140746e+04	3.793276e-20	nan
1.146739e+04	4.064222e-20	nan
1.152733e+04	3.696850e-20	nan
1.158727e+04	4.505376e-20	nan
1.164720e+04	5.883721e-20	nan
1.170714e+04	2.181784e-20	nan
1.176708e+04	4.132768e-20	nan
1.182701e+04	2.859144e-20	nan
1.188695e+04	4.524722e-20	nan
1.194689e+04	4.185387e-20	nan
1.200682e+04	5.202498e-20	nan
1.206676e+04	9.880979e-20	nan
1.212670e+04	7.801275e-20	nan
1.218663e+04	5.542157e-20	nan
1.224657e+04	6.892782e-20	nan
1.230651e+04	7.151980e-20	nan
1.236644e+04	9.498942e-20	nan
1.242638e+04	7.347651e-20	nan
1.248632e+04	4.393370e-20	nan
1.254625e+04	3.705888e-20	nan
1.260619e+04	3.229942e-20	nan
1.266613e+04	3.474851e-20	nan
1.272607e+04	5.438244e-20	nan
1.278600e+04	4.720395e-20	nan
1.284594e+04	3.570940e-20	nan
1.290588e+04	1.447826e-20	nan
1.296581e+04	4.906034e-20	nan
1.302575e+04	4.963124e-20	nan
1.308569e+04	4.817573e-20	nan
1.314562e+04	1.834663e-20	nan
1.320556e+04	-6.666758e-21	nan
1.326550e+04	-2.085274e-20	nan
1.332543e+04	2.513612e-20	nan
1.338537e+04	5.425388e-20	nan
1.344531e+04	4.164201e-20	nan
